"","Var1","Freq"
"8","FS-0411 Lab de Física III",2
"4","FS-0211 Lab de Física I",3
"10","IM-0207 Mecánica I",3
"18","QU-0101 Lab de Química I",3
"7","FS-0410 Física III",4
"11","IM-0307 Mecánica II",4
"17","QU-0100 Química I",5
"2","CI-0202 Principios de Informática",6
"6","FS-0311 Lab de Física II",7
"15","MA-1005 Ecuaciones Diferenciales",8
"5","FS-0310 Física II",10
"16","MA-1101 Cálculo I",11
"12","MA-1002 Cálculo II",12
"9","IM-0101 Gráfica",14
"13","MA-1003 Cálculo III",15
"3","FS-0210 Física I",16
"14","MA-1004 Álgebra Lineal",29
