"","Var1","Freq"
"2","Álgebra lineal",1
"3","Cálculo II",1
"4","IE0407 Electromagnetismo II",1
"19","IE0509 Sistemas No Lineales",1
"21","IE0528 Laboratorio de Transmisión de Datos",1
"24","IE0537 Radiometría y Fotometría",1
"26","IE0545 Mediciones Ópticas",1
"35","IE0628 Laboratorio de Microondas",1
"36","IE0629 Sistemas de Comunicación",1
"38","IE0715 Máquinas Eléctricas III",1
"40","IE0727 Ingeniería de Radio",1
"41","IE0729 Redes Telefónicas",1
"46","IE1114 Temas especiales II en control ",1
"47","Sistemas incrustados",1
"8","IE0439 Optoelectrónica",2
"9","IE0445 Metrología en Ingeniería Eléctrica",2
"10","IE0447 Procesamiento Digital de Señales I",3
"18","IE0505 Técnicas de Optimización",3
"22","IE0529 Sistemas Móviles en Comunicaciones",3
"32","IE0573 Diseño de Sistemas de Señales en Edificaciones",3
"33","IE0619 Control Eléctrico Industrial",3
"43","IE0827 Sistemas de Transmisión en Telecomunicaciones",3
"44","IE0829 Teoría de Tráfico",3
"7","IE0437 Fotónica",4
"23","IE0530 Laboratorio de Telecomunicaciones",4
"29","IE0565 Ingeniería de Alta Tensión",4
"30","IE0569 Sistemas de Potencia II",4
"12","IE0457 Conservación de la Energía Eléctrica",5
"25","IE0539 Comunicaciones por Fibra Óptica",5
"14","IE0465 Redes de Distribución y Transmisión",6
"17","IE0483 Introducción a la Ingeniería Biomédica (no vale por optativa)",6
"20","IE0521 Estructuras de Computadoras Digitales II",6
"28","IE0563 Diseño de Sistemas de Iluminación",6
"34","IE0624 Laboratorio de Microcontroladores",6
"42","IE0769 Protección del Sistema de Potencia",6
"5","IE0432 Laboratorio de Control Automático",7
"37","IE0633 Automatización Industrial",7
"6","IE0433 Control e Instrumentación de Procesos Industriales",8
"11","IE0449 Visión por Computador",8
"15","IE0467 Distribución Eléctrica Subterránea",8
"16","IE0483 Introducción a la Ingeniería Biomédica",10
"27","IE0559 Energía Solar Fotovoltaica",10
"31","IE0571 Diseño Eléctrico Industrial II",11
"45","IE0869 Subestaciones",11
"39","IE0724 Laboratorio de Programación y Microcomputadores",12
"13","IE0461 Centrales y Subestaciones",13
