"","Var1","Freq"
"2","Álgebra lineal y Cálculo 1",1
"3","Calculo 1",1
"4","Electrónica II",1
"5","Fisica 2",1
"6","Grafica",1
"7","IE-0365 Transmisión de potencia",1
"39","IE0521 Estructuras de computadoras digitales II",1
"49","Transmisión de potencia ",1
"11","IE0281 Termofluidos",3
"24","IE0381 Ciencia de los Materiales",3
"16","IE0311 Dispositivos Semiconductores",4
"48","IE0731 Sistemas en Tiempo Discreto",4
"28","IE0411 Microelectrónica: Sistemas en Silicio",5
"42","IE0541 Seguridad Ocupacional",5
"43","IE0579 Administración de Sistemas",5
"23","IE0379 Teoría Económica",6
"22","IE0365 Transmisión de Potencia",7
"44","IE0613 Electrónica Industrial",7
"33","IE0469 Sistemas de Potencia I",8
"40","IE0523 Circuitos Digitales II",9
"17","IE0313 Electrónica I",10
"30","IE0424 Laboratorio de Circuitos Digitales",11
"38","IE0513 Electrónica III",11
"12","IE0305 Matemática Superior",13
"20","IE0321 Estructuras de Computadoras Digitales I",14
"15","IE0309 Circuitos Lineales II",15
"9","IE0209 Circuitos Lineales I",18
"36","IE0499 Proyecto Eléctrico",19
"41","IE0527 Ingeniería de Comunicaciones",19
"27","IE0409 Análisis de Sistemas",20
"35","IE0479 Ingeniería Económica",20
"25","IE0405 Modelos Probabilísticos de Señales y Sistemas",21
"34","IE0471 Diseño Eléctrico Industrial I",21
"31","IE0425 Redes de Computadoras",23
"47","IE0623 Microprocesadores",24
"46","IE0616 Laboratorio de Máquinas Eléctricas II",25
"8","IE0117 Programación Bajo Plataformas Abiertas",26
"14","IE0308 Laboratorio Eléctrico I",26
"37","IE0501 Responsabilidades en el Ejercicio Profesional de la Ingeniería Eléctrica",26
"10","IE0217 Estructuras Abstractas de Datos y Algoritmos para Ingeniería",28
"13","IE0307 Electromagnetismo I",29
"29","IE0413 Electrónica II",30
"19","IE0316 Laboratorio de Máquinas Eléctricas I",33
"32","IE0431 Sistemas de Control",33
"21","IE0323 Circuitos Digitales I",36
"45","IE0615 Máquinas Eléctricas II",36
"26","IE0408 Laboratorio Eléctrico II",47
"18","IE0315 Máquinas Eléctricas I",50
