"","Var1","Freq"
"2","Álgebra lineal y Cálculo 1",1
"3","Álgebra lineal y Cálculo I",1
"4","Calculo 1",1
"5","Calculo 2",1
"6","Cálculo III ",1
"7","Electrónica II",1
"8","Fisica 2",1
"9","Grafica",1
"10","Gráfica",1
"11","IE-0365 Transmisión de potencia",1
"43","IE0521 Estructuras de computadoras digitales II",1
"53","Principios de informática",1
"54","Transmisión de potencia ",1
"28","IE0381 Ciencia de los Materiales",3
"15","IE0281 Termofluidos",6
"20","IE0311 Dispositivos Semiconductores",6
"27","IE0379 Teoría Económica",6
"26","IE0365 Transmisión de Potencia",7
"32","IE0411 Microelectrónica: Sistemas en Silicio",7
"52","IE0731 Sistemas en Tiempo Discreto",7
"46","IE0541 Seguridad Ocupacional",8
"37","IE0469 Sistemas de Potencia I",9
"44","IE0523 Circuitos Digitales II",9
"47","IE0579 Administración de Sistemas",9
"48","IE0613 Electrónica Industrial",11
"34","IE0424 Laboratorio de Circuitos Digitales",12
"42","IE0513 Electrónica III",12
"21","IE0313 Electrónica I",16
"45","IE0527 Ingeniería de Comunicaciones",20
"24","IE0321 Estructuras de Computadoras Digitales I",21
"40","IE0499 Proyecto Eléctrico",21
"19","IE0309 Circuitos Lineales II",22
"39","IE0479 Ingeniería Económica",22
"38","IE0471 Diseño Eléctrico Industrial I",24
"16","IE0305 Matemática Superior",25
"50","IE0616 Laboratorio de Máquinas Eléctricas II",25
"31","IE0409 Análisis de Sistemas",26
"35","IE0425 Redes de Computadoras",26
"29","IE0405 Modelos Probabilísticos de Señales y Sistemas",28
"41","IE0501 Responsabilidades en el Ejercicio Profesional de la Ingeniería Eléctrica",28
"51","IE0623 Microprocesadores",28
"13","IE0209 Circuitos Lineales I",30
"18","IE0308 Laboratorio Eléctrico I",31
"12","IE0117 Programación Bajo Plataformas Abiertas",36
"17","IE0307 Electromagnetismo I",36
"14","IE0217 Estructuras Abstractas de Datos y Algoritmos para Ingeniería",37
"33","IE0413 Electrónica II",37
"49","IE0615 Máquinas Eléctricas II",37
"23","IE0316 Laboratorio de Máquinas Eléctricas I",38
"36","IE0431 Sistemas de Control",38
"25","IE0323 Circuitos Digitales I",48
"30","IE0408 Laboratorio Eléctrico II",55
"22","IE0315 Máquinas Eléctricas I",58
